year mo dy flow_cfs
1931 12 15 634
1931 12 16 576
1931 12 17 576
1931 12 18 677
1931 12 19 928
1931 12 20 968
1931 12 21 999
1931 12 22 825
1931 12 23 785
1931 12 24 759
1931 12 25 664
1931 12 26 646
1931 12 27 708
1931 12 28 727
1931 12 29 708
1931 12 30 601
1931 12 31 498
1932 01 01 617
1932 01 02 677
1932 01 03 617
1932 01 04 599
1932 01 05 576
1932 01 06 634
1932 01 07 652
1932 01 08 683
1932 01 09 677
1932 01 10 689
1932 01 11 759
1932 01 12 708
1932 01 13 482
1932 01 14 389
1932 01 15 445
1932 01 16 466
1932 01 17 477
1932 01 18 520
1932 01 19 588
1932 01 20 576
1932 01 21 576
1932 01 22 560
1932 01 23 544
1932 01 24 528
1932 01 25 512
1932 01 26 497
1932 01 27 482
1932 01 28 424
1932 01 29 389
1932 01 30 389
1932 01 31 374
1932 02 01 379
1932 02 02 520
1932 02 03 605
1932 02 04 634
1932 02 05 759
1932 02 06 879
1932 02 07 1040
1932 02 08 1040
1932 02 09 928
1932 02 10 893
1932 02 11 845
1932 02 12 779
1932 02 13 740
1932 02 14 634
1932 02 15 622
1932 02 16 652
1932 02 17 721
1932 02 18 893
1932 02 19 1070
1932 02 20 1150
1932 02 21 1270
1932 02 22 1270
1932 02 23 1310
1932 02 24 1570
1932 02 25 1800
1932 02 26 3240
1932 02 27 4650
1932 02 28 6060
1932 02 29 4940
1932 03 01 4120
1932 03 02 3480
1932 03 03 2600
1932 03 04 1860
1932 03 05 1800
1932 03 06 1800
1932 03 07 1800
1932 03 08 1800
1932 03 09 1800
1932 03 10 1800
1932 03 11 2200
1932 03 12 2200
1932 03 13 2200
1932 03 14 2200
1932 03 15 2200
1932 03 16 2200
1932 03 17 2200
1932 03 18 2200
1932 03 19 2200
1932 03 20 2380
1932 03 21 2270
1932 03 22 2110
1932 03 23 2000
1932 03 24 1900
1932 03 25 1860
1932 03 26 1760
1932 03 27 1660
1932 03 28 1710
1932 03 29 1960
1932 03 30 1860
1932 03 31 2050
1932 04 01 2480
1932 04 02 3120
1932 04 03 3730
1932 04 04 3730
1932 04 05 3480
1932 04 06 3120
1932 04 07 2940
1932 04 08 2880
1932 04 09 2760
1932 04 10 2760
1932 04 11 3120
1932 04 12 4390
1932 04 13 6390
1932 04 14 8750
1932 04 15 8560
1932 04 16 8560
1932 04 17 9340
1932 04 18 9340
1932 04 19 8360
1932 04 20 7800
1932 04 21 6900
1932 04 22 6220
1932 04 23 6220
1932 04 24 6060
1932 04 25 5890
1932 04 26 5560
1932 04 27 5400
1932 04 28 5720
1932 04 29 5560
1932 04 30 5400
1932 05 01 5560
1932 05 02 5720
1932 05 03 6220
1932 05 04 7800
1932 05 05 9740
1932 05 06 11600
1932 05 07 13100
1932 05 08 14600
1932 05 09 16500
1932 05 10 17900
1932 05 11 19000
1932 05 12 19500
1932 05 13 23300
1932 05 14 25800
1932 05 15 20500
1932 05 16 15500
1932 05 17 13700
1932 05 18 14200
1932 05 19 15100
1932 05 20 17400
1932 05 21 23300
1932 05 22 29100
1932 05 23 21600
1932 05 24 16000
1932 05 25 12400
1932 05 26 10300
1932 05 27 8940
1932 05 28 8180
1932 05 29 7440
1932 05 30 8360
1932 05 31 9740
1932 06 01 10900
1932 06 02 15800
1932 06 03 14200
1932 06 04 12400
1932 06 05 12000
1932 06 06 11200
1932 06 07 10100
1932 06 08 10300
1932 06 09 10700
1932 06 10 10700
1932 06 11 11400
1932 06 12 13300
1932 06 13 15100
1932 06 14 16700
1932 06 15 17200
1932 06 16 17000
1932 06 17 15500
1932 06 18 13700
1932 06 19 12600
1932 06 20 11400
1932 06 21 11400
1932 06 22 12600
1932 06 23 13300
1932 06 24 12800
1932 06 25 11600
1932 06 26 10100
1932 06 27 9340
1932 06 28 8750
1932 06 29 7980
1932 06 30 7620
1932 07 01 6900
1932 07 02 6560
1932 07 03 6220
1932 07 04 6560
1932 07 05 6390
1932 07 06 5400
1932 07 07 4800
1932 07 08 4390
1932 07 09 4120
1932 07 10 3860
1932 07 11 3730
1932 07 12 3600
1932 07 13 3480
1932 07 14 3360
1932 07 15 3360
1932 07 16 3060
